subject,stim1,stim2,resp,rt,freq,type,procedure,trial,rem,fam,new,acc
3,grill.pict,NA,NEW,1332,Low,old,test,66,0,0,1,0
3,table.pict,NA,FAM,1187,Low,old,test,67,0,1,0,1
3,elephant.pict,NA,REM,1069,Low,old,test,68,1,0,0,1
3,computer.pict,NA,NEW,752,NA,new,test,69,0,0,1,1
3,strawberry2.pict,NA,FAM,1079,High,old,test,70,0,1,0,1
3,cup.pict,NA,NEW,818,NA,new,test,71,0,0,1,1
3,cow.pict,NA,NEW,647,NA,new,test,72,0,0,1,1
3,stereo.pict,NA,FAM,1131,Low,old,test,73,0,1,0,1
3,balloons.pict,NA,NEW,1105,High,old,test,74,0,0,1,0
3,basket.pict,NA,NEW,831,Low,old,test,75,0,0,1,0
3,muffin.pict,NA,NEW,772,NA,new,test,76,0,0,1,1
3,lemon.pict,NA,FAM,1146,High,old,test,77,0,1,0,1
3,dice.pict,NA,NEW,750,NA,new,test,78,0,0,1,1
3,violin.pict,NA,REM,1240,Low,old,test,79,1,0,0,1
3,boots.pict,NA,NEW,724,NA,new,test,80,0,0,1,1
3,lighthouse.pict,NA,NEW,1062,Low,old,test,81,0,0,1,0
3,cheese.pict,NA,REM,916,High,old,test,82,1,0,0,1
3,knife.pict,NA,NEW,997,NA,new,test,83,0,0,1,1
3,owl.pict,NA,FAM,1593,High,old,test,84,0,1,0,1
3,stethoscope.pict,NA,NEW,854,NA,new,test,85,0,0,1,1
3,horse.pict,NA,NEW,785,NA,new,test,86,0,0,1,1
3,grapes.pict,NA,NEW,822,NA,new,test,87,0,0,1,1
3,bride.pict,NA,NEW,767,NA,new,test,88,0,0,1,1
3,butterfly.pict,NA,NEW,737,NA,new,test,89,0,0,1,1
3,piano.pict,NA,FAM,1538,High,old,test,90,0,1,0,1
3,iron.pict,NA,REM,1491,High,old,test,91,1,0,0,1
3,corn.pict,NA,REM,1026,Low,old,test,92,1,0,0,1
3,gloves.pict,NA,REM,1018,Low,old,test,93,1,0,0,1
3,stove.pict,NA,NEW,910,Low,old,test,94,0,0,1,0
3,avocado.pict,NA,NEW,909,NA,new,test,95,0,0,1,1
3,bowl.pict,NA,NEW,1053,NA,new,test,96,0,0,1,1
3,basketball.pict,NA,NEW,869,NA,new,test,97,0,0,1,1
3,sheep.pict,NA,NEW,1350,NA,new,test,98,0,0,1,1
3,zebra.pict,NA,NEW,701,NA,new,test,99,0,0,1,1
3,flag4.pict,NA,REM,1282,High,old,test,100,1,0,0,1
3,pig.pict,NA,REM,886,Low,old,test,101,1,0,0,1
3,pot2.pict,NA,REM,905,High,old,test,102,1,0,0,1
3,watermelon.pict,NA,REM,715,High,old,test,103,1,0,0,1
3,egg.pict,NA,NEW,1153,NA,new,test,104,0,0,1,1
3,flower.pict,NA,NEW,1008,High,old,test,105,0,0,1,0
3,apple.pict,NA,FAM,2072,NA,new,test,106,0,1,0,0
3,baby.pict,NA,REM,788,High,old,test,107,1,0,0,1
3,tomato.pict,NA,REM,782,Low,old,test,108,1,0,0,1
