"encodingtask","study_rating","list","testtria","studytria","stim1","stim2","responsecode","subject","cuefreq","targetfreq","bothfreq","CuedRecall","procedure","trial","duration","onset"
2,2,3,13,19,"indicate","hijackin",2,2,"HF","LF","MF",0,"study",99,3000,594000
2,5,3,14,20,"troops","indulged",2,2,"HF","LF","MF",0,"study",100,63000,597000
2,5,3,1,8,"individu",NA,2,2,"HF","LF","MF",0,"test",101,3000,660000
2,2,3,2,10,"upper",NA,1,2,"HF","LF","MF",1,"test",102,3000,663000
2,2,3,3,2,"built",NA,2,2,"HF","LF","MF",0,"test",103,3000,666000
2,5,3,4,13,"academic",NA,2,2,"HF","LF","MF",0,"test",104,3000,669000
2,2,3,5,4,"taste",NA,2,2,"HF","LF","MF",0,"test",105,3000,672000
2,4,3,6,14,"industry",NA,2,2,"HF","LF","MF",0,"test",106,3000,675000
2,2,3,7,16,"vote",NA,1,2,"HF","LF","MF",1,"test",107,3000,678000
2,3,3,8,18,"chosen",NA,2,2,"HF","LF","MF",0,"test",108,3000,681000
2,5,3,9,15,"warm",NA,0,2,"HF","LF","MF",0,"test",109,3000,684000
2,2,3,10,1,"formula",NA,0,2,"HF","LF","MF",0,"test",110,3000,687000
2,3,3,11,6,"somehow",NA,2,2,"HF","LF","MF",0,"test",111,3000,690000
2,3,3,12,17,"heavy",NA,2,2,"HF","LF","MF",0,"test",112,3000,693000
2,2,3,13,19,"indicate",NA,2,2,"HF","LF","MF",0,"test",113,3000,696000
2,5,3,14,20,"troops",NA,2,2,"HF","LF","MF",0,"test",114,3000,699000
2,2,3,15,7,"town",NA,0,2,"HF","LF","MF",0,"test",115,3000,702000
2,3,3,16,5,"rooms",NA,2,2,"HF","LF","MF",0,"test",116,3000,705000
2,3,3,17,9,"really",NA,2,2,"HF","LF","MF",0,"test",117,3000,708000
2,4,3,18,11,"walking",NA,2,2,"HF","LF","MF",0,"test",118,3000,711000
2,3,3,19,3,"perfect",NA,2,2,"HF","LF","MF",0,"test",119,3000,714000
2,2,3,20,12,"cell",NA,1,2,"HF","LF","MF",1,"test",120,93000,717000
2,2,4,4,1,"gauged","driving",2,2,"LF","HF","MF",0,"study",121,3000,810000
2,4,4,6,2,"gruff","watch",2,2,"LF","HF","MF",0,"study",122,3000,813000
2,5,4,9,3,"coaxed","rose",2,2,"LF","HF","MF",0,"study",123,3000,816000
2,3,4,3,4,"lilacs","ways",1,2,"LF","HF","MF",1,"study",124,3000,819000
2,4,4,7,5,"sapped","weather",2,2,"LF","HF","MF",0,"study",125,3000,822000
2,4,4,19,6,"shrewd","handle",2,2,"LF","HF","MF",0,"study",126,3000,825000
2,3,4,15,7,"thawed","accept",2,2,"LF","HF","MF",0,"study",127,3000,828000
2,6,4,5,8,"cribs","miss",1,2,"LF","HF","MF",1,"study",128,3000,831000
2,3,4,8,9,"numbing","term",2,2,"LF","HF","MF",0,"study",129,3000,834000
2,6,4,2,10,"corns","issued",2,2,"LF","HF","MF",0,"study",130,3000,837000
2,8,4,10,11,"bluffs","belief",1,2,"LF","HF","MF",1,"study",131,3000,840000
2,4,4,11,12,"ionized","mass",1,2,"LF","HF","MF",1,"study",132,3000,843000
2,5,4,20,13,"arroyo","welcome",1,2,"LF","HF","MF",1,"study",133,3000,846000
2,2,4,12,14,"hoodlum","fall",2,2,"LF","HF","MF",0,"study",134,3000,849000
2,5,4,17,15,"mules","hills",2,2,"LF","HF","MF",0,"study",135,3000,852000
2,3,4,13,16,"ardor","meant",2,2,"LF","HF","MF",0,"study",136,3000,855000
2,4,4,16,17,"shuns","feet",1,2,"LF","HF","MF",1,"study",137,3000,858000
2,3,4,14,18,"fouling","part",2,2,"LF","HF","MF",0,"study",138,3000,861000
2,4,4,18,19,"cleft","attempt",0,2,"LF","HF","MF",0,"study",139,3000,864000
2,6,4,1,20,"midday","forth",1,2,"LF","HF","MF",1,"study",140,63000,867000
2,6,4,1,20,"midday",NA,1,2,"LF","HF","MF",1,"test",141,3000,930000
2,6,4,2,10,"corns",NA,2,2,"LF","HF","MF",0,"test",142,3000,933000
2,3,4,3,4,"lilacs",NA,1,2,"LF","HF","MF",1,"test",143,3000,936000
